Temporada,Carrera
2018,Australian Grand Prix
2018,Bahrain Grand Prix
2019,Australian Grand Prix
2019,Bahrain Grand Prix
2020,Austrian Grand Prix
2020,Styrian Grand Prix
2021,Bahrain Grand Prix
2021,Emilia Romagna Grand Prix
2022,Bahrain Grand Prix
2022,Saudi Arabian Grand Prix
